name,price,stock,description,warranty_period,manufacturer_id,category_id
Vacuum Sealer Machine,89.99,72,Seal food and maintain freshness longer.,9,91,86
Solar Charger,39.99,48,Portable solar charger for outdoor adventures.,9,98,98
Almond Crunch Granola Bars,3.49,85,Nutty granola bars for healthy snacking.,12,6,40
Cabbage Slaw Mix,2.29,71,Fresh cabbage and carrot slaw mix for salads.,12,79,86
Wall Art Stickers,19.99,91,Removable wall art stickers for home decoration.,3,40,65
Wireless Charging Station,39.99,38,Charge multiple devices with this sleek charging station.,3,76,53
Gingerbread House Kit,6.99,4,Everything you need to build a festive gingerbread house.,3,34,53
Car Escape Tool,12.99,29,Multi-functional tool for emergency situations in the car.,3,54,26
Apple Sauce,2.19,38,"Unsweetened apple sauce, great for snacks or baking.",11,88,55
Lightweight Travel Backpack,39.99,9,Compact and portable backpack for day trips and travel.,7,91,18
Honey Nut Cheerios,4.29,60,Classic cereal made with whole grains and honey.,8,18,7
Adjustable Yoga Mat Strap,14.99,94,Convenient strap for carrying yoga mats to class.,10,27,32
Sweet Pea Hummus,4.29,86,Creamy hummus made with sweet peas and tahini.,11,60,94
Hibiscus Tea Bags,3.79,41,Herbal tea bags made from dried hibiscus flowers.,10,66,66
Self-Stirring Mug,19.99,19,Automated stirring for your drinks with just a press of a button.,9,2,73
Pet Water Fountain with Filtration,39.99,95,"Continuous stream of fresh water for pets, promoting hydration.",9,40,10
Pest Control Traps,22.99,7,Non-toxic traps for catching household pests safely.,2,46,69
Multifunctional Baby Bottle Warmer,39.99,88,Warmer for heating baby bottles and food jars.,1,62,7
Portable Hammock,27.99,8,Lightweight hammock for easy setup anywhere.,3,8,60
Almond Flour,5.99,93,"Gluten-free almond flour, perfect for baking.",11,56,85
Kids' Gardening Tools Set,22.99,62,Fun and colorful gardening tools designed for children.,4,67,23
Peach Halves (canned),2.49,69,"Sweet peach halves packed in juice, great for desserts.",2,84,76
Crafting Kit,29.99,22,Complete crafting kit for kids and adults.,12,18,20
Organic Granola Cereal,5.99,70,Crunchy granola made with organic oats,2,93,75
Electric Milk Frother,19.99,72,Handheld frother for creating frothed milk for coffee.,11,64,8
